window,frame,sparse_mode,K,COUT,P,depth,implementation,nonzero_inputs,start_cycle,end_cycle,stall_len,pattern,input_gaps
346,173,0,576,128,8,2,1,251,2740856,2750679,12,0,0
347,173,1,576,128,8,2,1,251,2750680,2755303,12,0,0
348,174,0,576,128,8,2,1,289,2755304,2765127,12,0,0
349,174,1,576,128,8,2,1,289,2765128,2770359,12,0,0
350,175,0,576,128,8,2,1,258,2770360,2780183,12,0,0
351,175,1,576,128,8,2,1,258,2780184,2784919,12,0,0
352,176,0,576,128,8,2,1,293,2784920,2794743,12,0,0
353,176,1,576,128,8,2,1,293,2794744,2800039,12,0,0
354,177,0,576,128,8,2,1,254,2800040,2809863,12,0,0
355,177,1,576,128,8,2,1,254,2809864,2814535,12,0,0
356,178,0,576,128,8,2,1,248,2814536,2824359,12,0,0
357,178,1,576,128,8,2,1,248,2824360,2828935,12,0,0
358,179,0,576,128,8,2,1,280,2828936,2838759,12,0,0
359,179,1,576,128,8,2,1,280,2838760,2843847,12,0,0
360,180,0,576,128,8,2,1,260,2843848,2853671,12,0,0
361,180,1,576,128,8,2,1,260,2853672,2858439,12,0,0
362,181,0,576,128,8,2,1,285,2858440,2868263,12,0,0
363,181,1,576,128,8,2,1,285,2868264,2873431,12,0,0
364,182,0,576,128,8,2,1,266,2873432,2883255,12,0,0
365,182,1,576,128,8,2,1,266,2883256,2888119,12,0,0
366,183,0,576,128,8,2,1,299,2888120,2897943,12,0,0
367,183,1,576,128,8,2,1,299,2897944,2903335,12,0,0
368,184,0,576,128,8,2,1,280,2903336,2913159,12,0,0
369,184,1,576,128,8,2,1,280,2913160,2918247,12,0,0
370,185,0,576,128,8,2,1,257,2918248,2928071,12,0,0
371,185,1,576,128,8,2,1,257,2928072,2932791,12,0,0
372,186,0,576,128,8,2,1,296,2932792,2942615,12,0,0
373,186,1,576,128,8,2,1,296,2942616,2947959,12,0,0
374,187,0,576,128,8,2,1,270,2947960,2957783,12,0,0
375,187,1,576,128,8,2,1,270,2957784,2962711,12,0,0
376,188,0,576,128,8,2,1,388,2962712,2972535,12,0,0
377,188,1,576,128,8,2,1,388,2972536,2979351,12,0,0
378,189,0,576,128,8,2,1,395,2979352,2989175,12,0,0
379,189,1,576,128,8,2,1,395,2989176,2996103,12,0,0
380,190,0,576,128,8,2,1,298,2996104,3005927,12,0,0
381,190,1,576,128,8,2,1,298,3005928,3011303,12,0,0
382,191,0,576,128,8,2,1,181,3011304,3021127,12,0,0
383,191,1,576,128,8,2,1,181,3021128,3024631,12,0,0
384,192,0,576,128,8,2,1,362,3024632,3034455,12,0,0
385,192,1,576,128,8,2,1,362,3034456,3040855,12,0,0
386,193,0,576,128,8,2,1,359,3040856,3050679,12,0,0
387,193,1,576,128,8,2,1,359,3050680,3057031,12,0,0
388,194,0,576,128,8,2,1,366,3057032,3066855,12,0,0
389,194,1,576,128,8,2,1,366,3066856,3073319,12,0,0
390,195,0,576,128,8,2,1,363,3073320,3083143,12,0,0
391,195,1,576,128,8,2,1,363,3083144,3089559,12,0,0
392,196,0,576,128,8,2,1,356,3089560,3099383,12,0,0
393,196,1,576,128,8,2,1,356,3099384,3105687,12,0,0
394,197,0,576,128,8,2,1,360,3105688,3115511,12,0,0
395,197,1,576,128,8,2,1,360,3115512,3121879,12,0,0
396,198,0,576,128,8,2,1,363,3121880,3131703,12,0,0
397,198,1,576,128,8,2,1,363,3131704,3138119,12,0,0
398,199,0,576,128,8,2,1,366,3138120,3147943,12,0,0
399,199,1,576,128,8,2,1,366,3147944,3154407,12,0,0
400,200,0,576,128,8,2,1,363,3154408,3164231,12,0,0
401,200,1,576,128,8,2,1,363,3164232,3170647,12,0,0
402,201,0,576,128,8,2,1,372,3170648,3180471,12,0,0
403,201,1,576,128,8,2,1,372,3180472,3187031,12,0,0
404,202,0,576,128,8,2,1,354,3187032,3196855,12,0,0
405,202,1,576,128,8,2,1,354,3196856,3203127,12,0,0
406,203,0,576,128,8,2,1,365,3203128,3212951,12,0,0
407,203,1,576,128,8,2,1,365,3212952,3219399,12,0,0
408,204,0,576,128,8,2,1,359,3219400,3229223,12,0,0
409,204,1,576,128,8,2,1,359,3229224,3235575,12,0,0
410,205,0,576,128,8,2,1,362,3235576,3245399,12,0,0
411,205,1,576,128,8,2,1,362,3245400,3251799,12,0,0
412,206,0,576,128,8,2,1,363,3251800,3261623,12,0,0
413,206,1,576,128,8,2,1,363,3261624,3268039,12,0,0
414,207,0,576,128,8,2,1,385,3268040,3277863,12,0,0
415,207,1,576,128,8,2,1,385,3277864,3284631,12,0,0
416,208,0,576,128,8,2,1,365,3284632,3294455,12,0,0
417,208,1,576,128,8,2,1,365,3294456,3300903,12,0,0
418,209,0,576,128,8,2,1,365,3300904,3310727,12,0,0
419,209,1,576,128,8,2,1,365,3310728,3317175,12,0,0
420,210,0,576,128,8,2,1,365,3317176,3326999,12,0,0
421,210,1,576,128,8,2,1,365,3327000,3333447,12,0,0
422,211,0,576,128,8,2,1,364,3333448,3343271,12,0,0
423,211,1,576,128,8,2,1,364,3343272,3349703,12,0,0
424,212,0,576,128,8,2,1,389,3349704,3359527,12,0,0
425,212,1,576,128,8,2,1,389,3359528,3366359,12,0,0
426,213,0,576,128,8,2,1,364,3366360,3376183,12,0,0
427,213,1,576,128,8,2,1,364,3376184,3382615,12,0,0
428,214,0,576,128,8,2,1,368,3382616,3392439,12,0,0
429,214,1,576,128,8,2,1,368,3392440,3398935,12,0,0
430,215,0,576,128,8,2,1,375,3398936,3408759,12,0,0
431,215,1,576,128,8,2,1,375,3408760,3415367,12,0,0
432,216,0,576,128,8,2,1,382,3415368,3425191,12,0,0
433,216,1,576,128,8,2,1,382,3425192,3431911,12,0,0
