name,vector,K,COUT,P,DEPTH,N,IMPL,STALL_LEN,PATTERN,INPUT_GAPS,MODE_SEQ,RESET_TEST,T,checked_values,windows,cycle_rows,cycle_model_mismatches,total_cycles,cycles_per_window,mean_dense_latency,mean_sparse_latency
v4_small_t4_p1_d2_s0,synthetic_k9_c9,9,9,1,2,14,3,0,0,0,2,0,4,252,28,28,0,837,29.892857142857142,62.0,62.785714285714285
v4_small_t4_p1_d2_s12,synthetic_k9_c9,9,9,1,2,14,3,12,0,0,2,0,4,252,28,28,0,2030,72.5,152.42857142857142,156.21428571428572
v4_small_t4_p2_d2_s0,synthetic_k9_c9,9,9,2,2,14,3,0,0,0,2,0,4,252,28,28,0,529,18.892857142857142,40.57142857142857,40.785714285714285
v4_small_t4_p2_d2_s12,synthetic_k9_c9,9,9,2,2,14,3,12,0,0,2,0,4,252,28,28,0,1135,40.535714285714285,89.78571428571429,92.0
v4_small_t4_p8_d2_s0,synthetic_k9_c9,9,9,8,2,14,3,0,0,0,2,0,4,252,28,28,0,389,13.892857142857142,35.0,36.0
v4_small_t4_p8_d2_s12,synthetic_k9_c9,9,9,8,2,14,3,12,0,0,2,0,4,252,28,28,0,1134,40.5,117.57142857142857,109.0
v4_small_t8_p1_d2_s0,synthetic_k9_c9,9,9,1,2,14,3,0,0,0,2,0,8,252,28,28,0,731,26.107142857142858,54.42857142857143,55.214285714285715
v4_small_t8_p1_d2_s12,synthetic_k9_c9,9,9,1,2,14,3,12,0,0,2,0,8,252,28,28,0,2029,72.46428571428571,151.35714285714286,157.78571428571428
v4_small_t8_p2_d2_s0,synthetic_k9_c9,9,9,2,2,14,3,0,0,0,2,0,8,252,28,28,0,469,16.75,36.285714285714285,36.5
v4_small_t8_p2_d2_s12,synthetic_k9_c9,9,9,2,2,14,3,12,0,0,2,0,8,252,28,28,0,1135,40.535714285714285,90.71428571428571,93.0
v4_small_t8_p8_d2_s0,synthetic_k9_c9,9,9,8,2,14,3,0,0,0,2,0,8,252,28,28,0,366,13.071428571428571,34.07142857142857,34.92857142857143
v4_small_t8_p8_d2_s12,synthetic_k9_c9,9,9,8,2,14,3,12,0,0,2,0,8,252,28,28,0,1133,40.464285714285715,106.14285714285714,122.07142857142857
